 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
239,2336,260.593,81.216,18,76,37.999,55.126
240,2333,258.350,81.216,26,17,127.999,54.527
241,2340,258.593,81.154,13,33,157.543,54.029
242,2349,259.765,81.302,16,72,31.931,54.791
243,2343,261.179,81.043,11,39,164.249,55.011
244,2341,260.350,81.271,16,27,145.528,55.007
245,2341,261.179,81.216,26,17,127.999,55.137
246,2343,261.179,81.345,21,79,43.506,55.142
247,2339,260.593,81.345,22,21,133.506,54.874
248,2345,263.179,81.302,29,15,121.931,55.495
249,2343,262.007,81.216,25,18,127.999,55.588
250,2345,258.593,81.154,12,36,157.543,54.337
251,2347,261.179,81.271,28,84,55.528,54.862
252,2342,262.007,81.216,18,25,142.001,55.132
253,2341,262.007,81.123,15,71,30.358,55.515
254,2336,261.179,81.345,23,20,133.506,55.092
255,2344,259.765,81.154,35,12,112.457,54.551
256,2346,263.179,81.123,30,85,59.642,55.676
257,2335,259.179,81.043,12,37,164.249,54.299
258,2338,260.593,81.216,26,17,127.999,55.097
259,2345,261.179,81.049,44,10,99.230,54.886
260,2340,259.179,81.271,17,27,145.528,54.889
261,2344,262.593,81.216,18,25,142.001,55.700
262,2344,261.179,81.302,15,29,148.069,55.005
263,2340,260.350,81.302,16,28,148.069,54.860
264,2335,260.593,81.302,16,72,31.931,55.097
265,2343,261.421,81.302,15,29,148.069,55.065
266,2343,262.593,81.216,18,26,142.001,55.541
267,2344,261.179,81.154,36,12,112.457,54.739
268,2342,263.179,81.049,10,56,9.230,55.088
269,2334,261.765,81.043,11,37,164.249,54.925
270,2337,257.765,81.216,26,83,52.001,54.538
271,2337,260.350,81.049,10,42,170.770,54.941
272,2344,263.765,81.154,34,13,112.457,55.569
273,2342,261.765,81.216,25,18,127.999,55.429
274,2347,259.765,81.216,24,81,52.001,55.001
275,2341,261.179,81.154,32,13,112.457,54.826
276,2338,259.765,81.056,23,81,51.009,54.605
277,2351,262.593,81.271,28,84,55.528,55.624
278,2341,260.593,81.216,25,82,52.001,54.850
279,2342,261.179,81.154,12,65,22.457,55.267
280,2341,261.179,81.216,18,25,142.001,54.700
281,2344,258.593,81.154,34,13,112.457,54.518
282,2342,259.179,81.043,11,38,164.249,54.169
283,2338,260.593,81.271,17,26,145.528,54.856
284,2343,261.765,81.345,22,20,133.506,55.033
285,2334,261.765,81.302,15,71,31.931,55.200
286,2341,260.593,81.216,18,25,142.001,54.690
287,2344,259.765,81.154,13,66,22.457,54.551
288,2341,263.179,81.216,24,18,127.999,55.717
289,2341,260.593,81.271,27,16,124.472,54.862
290,2341,259.765,81.271,27,17,124.472,54.600
291,2338,262.593,80.994,12,65,20.225,55.102
292,2339,261.765,81.154,13,34,157.543,54.946
293,2335,260.007,81.123,14,70,30.358,54.797
294,2341,262.350,81.154,33,13,112.457,54.617
295,2340,260.007,81.216,19,76,37.999,54.883
296,2350,264.250,81.302,16,72,31.931,55.899
297,2336,258.350,81.154,13,33,157.543,54.741
298,2341,261.179,81.394,20,77,42.510,54.734
299,2337,259.765,81.302,29,15,121.931,54.826
300,2341,261.765,81.345,22,21,133.506,54.856
301,2342,260.593,81.154,12,35,157.543,55.009
302,2343,260.593,81.302,28,84,58.069,55.001
303,2346,261.179,81.154,13,33,157.543,54.848
304,2341,262.593,81.302,29,85,58.069,55.314
305,2352,261.179,81.302,15,71,31.931,55.373
306,2350,262.593,81.302,16,72,31.931,55.568
307,2348,260.593,81.302,15,71,31.931,55.185
308,2335,258.593,81.043,10,41,164.249,54.585
309,2338,259.179,81.154,34,13,112.457,54.446
310,2348,262.593,81.154,12,36,157.543,55.244
311,2334,258.350,81.271,16,72,34.472,54.527
312,2339,259.765,81.345,21,78,43.506,54.775
313,2341,260.350,81.394,23,20,132.510,55.009
314,2339,262.593,81.123,14,30,149.642,55.758
315,2337,261.765,81.271,17,26,145.528,55.136
316,2336,261.765,81.043,37,12,105.751,54.915
317,2340,260.593,81.302,16,28,148.069,55.216
318,2334,257.765,80.994,35,88,69.775,54.077
319,2344,259.765,81.154,12,36,157.543,54.547
320,2340,261.179,81.345,20,77,43.506,55.025
321,2343,262.836,81.216,18,75,37.999,55.219
322,2343,262.593,81.043,41,10,105.751,55.231
323,2343,259.765,81.345,22,21,133.506,54.997
324,2344,260.593,81.302,28,84,58.069,54.771
325,2342,262.007,81.216,26,18,127.999,55.239
