Angle	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 23.500	10000.018	  0.436	429.937	  0.787	412.237	  0.919	409.089	  0.628
 24.000	9999.963	  1.356	429.847	  1.030	413.586	  0.941	408.975	  0.876
 24.500	9999.986	  1.144	429.725	  1.067	414.935	  1.061	408.875	  0.919
 25.000	9999.959	  2.137	429.641	  1.328	416.321	  1.443	408.781	  1.113
 25.500	9999.896	  1.398	429.437	  0.991	417.568	  1.033	408.580	  0.822
 26.000	10000.059	  2.650	429.265	  0.801	418.865	  0.845	408.417	  0.666
 26.500	10000.200	 24.464	428.963	  1.007	420.048	  1.009	408.134	  0.867
 27.000	9999.796	  4.314	428.696	  0.837	421.255	  0.735	407.887	  0.701
 27.500	9999.970	  2.376	428.436	  1.034	422.404	  1.272	407.620	  0.773
 28.000	9999.991	  1.691	428.132	  0.688	423.611	  0.878	407.329	  0.521
 28.500	10000.007	  1.837	427.788	  0.899	424.720	  0.836	406.991	  0.705
 29.000	9999.962	  1.215	427.303	  1.146	425.700	  1.212	406.538	  0.953
 29.500	10000.009	  0.982	426.896	  0.635	426.795	  0.723	406.156	  0.525
 30.000	9999.968	  1.030	426.441	  0.860	427.778	  0.940	405.718	  0.671
 30.500	9999.995	  0.985	425.993	  0.694	428.776	  0.511	405.271	  0.528
 31.000	9999.997	  2.873	425.436	  0.950	429.699	  1.345	404.750	  0.736
 31.500	9999.990	  0.868	424.888	  1.092	430.646	  1.092	404.241	  0.889
 32.000	9999.999	  6.763	424.225	  0.834	431.443	  0.925	403.617	  0.663
 32.500	9999.961	  1.518	423.693	  0.870	432.362	  0.851	403.090	  0.730
 33.000	10000.074	  1.326	422.961	  0.939	433.153	  1.120	402.407	  0.785
 33.500	10000.029	  2.745	422.273	  1.242	433.896	  1.329	401.759	  1.025
 34.000	9999.974	  1.219	421.570	  0.797	434.672	  0.746	401.089	  0.638
 34.500	9999.788	  2.901	420.768	  0.972	435.335	  1.092	400.335	  0.792
 35.000	9999.916	  4.813	420.010	  0.788	436.009	  0.933	399.597	  0.647
 35.500	10000.058	  2.820	419.227	  1.023	436.732	  1.110	398.858	  0.883
 36.000	10000.016	  1.225	418.384	  0.983	437.335	  0.990	398.054	  0.848
 36.500	9999.995	  0.785	417.464	  1.108	437.885	  1.184	397.183	  0.885
 37.000	9999.996	  0.310	416.566	  0.565	438.460	  0.738	396.331	  0.381
 37.500	10000.007	  1.109	415.644	  0.785	438.986	  0.815	395.458	  0.664
 38.000	9999.917	  1.583	414.702	  1.104	439.482	  1.288	394.550	  0.932
 38.500	9999.977	  1.566	413.588	  1.139	439.848	  1.261	393.504	  0.956
 39.000	10000.054	  1.260	412.604	  0.793	440.318	  0.730	392.564	  0.642
 39.500	10000.005	  0.933	411.531	  0.757	440.699	  0.827	391.549	  0.601
 40.000	10000.012	  0.668	410.474	  0.949	441.092	  1.241	390.531	  0.691
 40.500	10000.029	  0.867	409.278	  0.452	441.359	  0.251	389.421	  0.294
 41.000	10000.040	  0.702	408.156	  0.955	441.667	  1.271	388.334	  0.709
 41.500	10000.006	  1.771	406.911	  0.746	441.890	  0.838	387.172	  0.586
 42.000	10000.036	  4.001	405.704	  0.821	442.102	  0.819	386.017	  0.692
 42.500	9999.971	  1.897	404.509	  1.073	442.360	  1.297	384.878	  0.904
 43.000	10000.077	  0.914	403.084	  0.933	442.377	  1.073	383.552	  0.792
