Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
 62.500	12271.929	  5.518	412.459	  0.336	392.694	  0.086	392.702	  0.318
 62.550	12291.539	  5.049	412.784	  0.417	393.024	  0.671	393.010	  0.395
 62.600	12311.325	  3.883	413.107	  0.505	393.323	  0.902	393.316	  0.478
 62.650	12330.910	  3.323	413.434	  0.639	393.613	  1.013	393.626	  0.606
 62.700	12350.517	  4.199	413.771	  0.709	393.926	  1.099	393.945	  0.672
 62.750	12370.138	  5.564	414.100	  0.715	394.265	  1.121	394.257	  0.678
 62.800	12389.769	  6.458	414.422	  0.718	394.564	  1.109	394.562	  0.681
 62.850	12409.841	  6.665	414.775	  0.659	394.879	  1.020	394.897	  0.625
 62.900	12429.340	  6.771	415.095	  0.547	395.209	  0.914	395.201	  0.518
 62.950	12448.788	  6.384	415.424	  0.401	395.503	  0.683	395.513	  0.380
 63.000	12468.765	  5.220	415.762	  0.331	395.830	  0.131	395.834	  0.314
 63.050	12488.702	  4.173	416.099	  0.528	396.149	  0.655	396.153	  0.500
 63.100	12508.575	  3.614	416.416	  0.611	396.441	  0.869	396.453	  0.579
 63.150	12528.370	  4.188	416.748	  0.658	396.760	  1.010	396.768	  0.624
 63.200	12548.419	  5.452	417.108	  0.678	397.146	  1.071	397.109	  0.643
 63.250	12568.043	  5.809	417.408	  0.638	397.375	  1.123	397.394	  0.605
 63.300	12588.114	  5.729	417.748	  0.601	397.719	  1.106	397.716	  0.569
 63.350	12607.842	  5.949	418.073	  0.633	398.029	  1.041	398.024	  0.600
 63.400	12628.049	  6.255	418.442	  0.588	398.403	  0.862	398.374	  0.558
 63.450	12647.548	  6.342	418.722	  0.553	398.643	  0.695	398.639	  0.525
 63.500	12667.690	  5.429	419.074	  0.400	398.978	  0.086	398.973	  0.379
 63.550	12687.916	  4.474	419.406	  0.487	399.274	  0.669	399.288	  0.462
 63.600	12707.648	  4.384	419.753	  0.528	399.633	  0.893	399.617	  0.501
 63.650	12727.686	  4.293	420.068	  0.515	399.912	  0.976	399.915	  0.488
 63.700	12747.542	  4.610	420.373	  0.632	400.196	  1.075	400.205	  0.599
 63.750	12767.566	  4.774	420.717	  0.691	400.517	  1.105	400.531	  0.655
 63.800	12787.549	  5.776	421.033	  0.697	400.819	  1.094	400.830	  0.661
 63.850	12807.790	  6.693	421.398	  0.675	401.174	  1.005	401.177	  0.640
 63.900	12827.792	  6.917	421.723	  0.605	401.499	  0.880	401.484	  0.574
 63.950	12848.078	  6.655	422.070	  0.445	401.800	  0.681	401.814	  0.422
 64.000	12867.941	  5.140	422.389	  0.113	402.118	  0.099	402.116	  0.107
 64.050	12888.186	  3.905	422.697	  0.456	402.407	  0.643	402.408	  0.433
 64.100	12908.175	  3.662	423.036	  0.589	402.705	  0.891	402.729	  0.559
 64.150	12928.001	  4.241	423.355	  0.656	403.035	  0.988	403.032	  0.622
